Monthly data for lake:, ont
Subbasin:, Overlake
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1988,    37.690,    80.250,    41.410,    64.180,    47.030,    41.120,    79.530,    75.160,    63.050,   111.460,    76.590,    48.510
1989,    39.110,    40.380,    67.140,    47.190,   118.870,   119.730,    23.600,    70.160,    76.430,    94.160,   124.310,    54.850
1990,    60.800,    82.130,    48.320,   102.370,   122.460,    74.600,    65.860,    74.650,    57.800,   118.730,    57.520,   144.560
1991,    53.680,    40.600,   118.280,   107.780,    74.840,    35.090,    60.670,    72.140,    75.380,    67.990,    68.880,    76.720
1992,    69.270,    48.360,    87.880,   106.650,    82.220,    44.700,   158.840,   124.830,    88.530,    74.720,   118.580,    85.690
1993,    97.660,    54.860,    53.300,    92.920,    45.900,   100.090,    50.470,    52.630,    95.960,    81.360,    93.850,    67.870
1994,    91.700,    49.820,    61.480,    94.860,    79.100,    74.330,    54.700,    92.210,    75.520,    29.260,   105.420,    56.570
1995,    94.310,    44.780,    40.620,    54.320,    61.220,    29.620,    90.190,    65.410,    58.990,   167.110,   128.130,    47.560
1996,    90.700,    64.720,    42.770,   117.480,   106.850,   112.080,    89.510,    53.950,   155.380,    89.660,    90.190,    97.350
1997,    84.860,    74.920,    94.070,    39.160,    61.520,    78.650,    40.340,    89.030,   118.700,    54.050,    91.750,    54.860
1998,   137.580,    52.900,    96.150,    47.310,    59.700,   115.160,    79.110,    91.460,    60.660,    47.010,    50.930,    49.570
1999,   138.820,    31.060,    78.290,    40.610,    53.160,    66.500,    71.500,    59.820,   104.360,    84.750,    99.700,    54.680
2000,    60.800,    54.510,    43.130,   108.430,   118.620,   151.160,    77.320,    81.870,    83.040,    39.280,    80.140,    93.240
2001,    48.590,    69.810,    71.190,    26.640,    82.280,    53.430,    36.820,    64.590,    82.930,    91.540,    76.110,    78.980
2002,    57.080,    45.630,    78.710,   108.070,   122.190,    84.120,    61.450,    32.060,    71.790,    75.350,    81.900,    56.810
2003,    73.370,    71.040,    66.380,    60.020,   134.660,    63.820,    84.580,    62.990,    83.570,    88.020,   124.990,    88.980
2004,    75.940,    35.450,    58.110,    93.940,   117.270,    69.120,   130.610,    68.330,    90.700,    51.690,    83.270,   118.180
2005,    74.290,    68.860,    31.210,   120.400,    25.500,    42.630,    71.380,   111.010,    98.620,    98.960,   116.690,    71.750
2006,    91.010,    59.320,    47.940,    67.260,    70.110,    80.340,   139.500,    53.010,   136.550,   161.010,    88.160,   100.560
2007,    83.870,    48.250,    59.750,    89.080,    40.940,    40.340,    81.420,    32.010,    52.930,    71.020,    95.750,   110.410
2008,    55.530,   114.150,    96.840,    66.000,    62.490,    91.410,   129.380,   102.380,    59.410,   110.240,    97.710,   114.800
2009,    71.110,    53.200,    65.520,   110.030,    97.020,    77.200,   108.400,    94.860,    56.100,    93.180,    43.290,    91.400
2010,    62.650,    46.810,    52.460,    35.120,    59.330,   156.330,    95.270,    66.760,   106.100,    79.180,    93.180,    65.850
2011,    60.830,    73.740,   105.600,   137.300,   130.840,    65.510,    64.320,   130.230,   100.570,   105.990,    88.800,    80.760
2012,    90.970,    43.410,    40.060,    57.230,    57.350,    86.450,    57.880,    53.910,   132.230,   112.920,    24.630,   116.230
2013,    59.640,    91.580,    27.160,    86.320,    70.040,   142.330,    79.890,    74.800,    80.430,   113.140,    72.890,    83.490
2014,    80.400,    81.180,    58.150,   109.920,    81.930,   102.200,   116.420,    69.330,    51.600,    79.090,    59.260,    50.430
2015,    53.430,    63.400,    28.120,    77.090,    59.530,   184.640,    59.420,    84.470,   104.880,    94.640,    33.640,    67.220
2016,    61.340,    95.380,    81.290,    48.800,    37.700,    49.440,    36.600,    87.280,    65.010,   111.020,    60.410,    84.400
2017,    90.260,    69.830,    74.620,   133.480,   164.200,   139.950,   107.470,    75.720,    48.720,   159.930,    86.700,    84.430
2018,    86.130,    81.000,    53.550,   112.880,    62.260,    60.200,    58.010,   104.700,    74.770,    91.930,   142.070,    77.310
2019,    81.780,    72.320,    60.500,    96.860,   124.550,   107.450,    80.800,    76.240,    78.210,   139.790,    56.470,    98.830
2020,    81.490,    60.840,    69.710,    72.690,    63.720,    43.670,    67.960,   113.400,    50.500,    89.310,    61.890,    85.050
2021,    29.890,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
